resource_id,resource_type,created_time,deleted_time,ttl_minutes,namespace,owner,public_exposure,privilege_level,ephemeral_label
bucket-5947f4c13b78,s3_bucket,2024-06-11T21:27:54Z,2024-06-11T21:38:54Z,11,cicd,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,False,medium,ephemeral
sg-a3f86be9d95e,security_group,2024-06-19T02:48:57Z,2024-06-19T03:13:57Z,25,staging,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
vol-f205eb0ceddb,volume,2024-06-20T17:16:04Z,2024-06-20T17:34:04Z,18,analytics,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,False,low,ephemeral
i-61b7c1c3eba1,ec2_instance,2024-06-18T11:34:31Z,,1296,analytics,arn:aws:iam::123456789012:user/dev-6,False,low,persistent
i-cb81615dc4f5,ec2_instance,2024-06-17T06:05:00Z,2024-06-17T06:59:00Z,54,analytics,arn:aws:iam::123456789012:user/dev-4,False,low,ephemeral
i-692a80e20306,ec2_instance,2024-06-19T20:37:17Z,2024-06-19T20:43:17Z,6,monitoring,arn:aws:iam::123456789012:role/ci-runner-6,False,low,ephemeral
i-d415afe051f3,spot_instance,2024-06-03T15:33:49Z,2024-06-03T15:40:49Z,7,cicd,arn:aws:iam::123456789012:user/dev-8,False,medium,ephemeral
vol-7dba71b7d2f1,volume,2024-06-25T00:25:54Z,2024-06-25T00:27:54Z,2,analytics,arn:aws:iam::123456789012:user/dev-3,False,medium,ephemeral
i-1520d86d42c2,spot_instance,2024-06-19T14:34:22Z,2024-06-19T15:31:22Z,57,monitoring,arn:aws:iam::123456789012:user/dev-6,False,medium,ephemeral
i-f9548eec6876,ec2_instance,2024-06-08T06:14:15Z,2024-06-08T06:19:15Z,5,dev,arn:aws:iam::123456789012:role/ci-runner-1,False,medium,ephemeral
i-b1c90a03f537,ec2_instance,2024-06-10T21:35:36Z,2024-06-10T21:59:36Z,24,monitoring,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,False,medium,ephemeral
sg-58f60e14914e,security_group,2024-06-10T02:19:05Z,2024-06-10T02:47:05Z,28,cicd,arn:aws:iam::123456789012:user/dev-1,False,low,ephemeral
i-9bb5f5cf2b8a,ec2_instance,2024-06-02T14:55:00Z,,86,analytics,arn:aws:iam::123456789012:role/ci-runner-5,False,low,persistent
sg-f9041d74d95e,security_group,2024-06-16T22:47:01Z,2024-06-16T22:55:01Z,8,staging,arn:aws:iam::123456789012:user/dev-3,False,low,ephemeral
i-43e05cb24f7a,ec2_instance,2024-06-15T20:36:06Z,2024-06-15T20:38:06Z,2,production,arn:aws:iam::123456789012:role/ci-runner-4,False,low,ephemeral
i-6e442f13af1f,spot_instance,2024-06-12T14:42:01Z,2024-06-12T14:45:01Z,3,dev,arn:aws:iam::123456789012:user/dev-14,False,low,ephemeral
i-8d7a2df2128a,ec2_instance,2024-06-17T19:35:26Z,2024-06-17T19:45:26Z,10,monitoring,arn:aws:iam::123456789012:user/dev-6,False,medium,ephemeral
bucket-bf532339f32a,s3_bucket,2024-06-15T12:17:07Z,2024-06-15T12:46:07Z,29,production,arn:aws:iam::123456789012:user/dev-1,False,low,ephemeral
i-c9c3d198c030,spot_instance,2024-06-07T17:59:05Z,2024-06-07T18:29:05Z,30,analytics,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,False,high,ephemeral
i-5dab3f121b69,spot_instance,2024-06-30T01:25:05Z,2024-06-30T01:30:05Z,5,production,arn:aws:iam::123456789012:user/dev-4,False,high,ephemeral
i-f0913afdb668,ec2_instance,2024-06-28T21:01:35Z,2024-06-28T21:25:35Z,24,monitoring,arn:aws:iam::123456789012:role/ci-runner-2,False,low,ephemeral
bucket-f0ecbaced7a9,s3_bucket,2024-06-26T00:54:48Z,,550,staging,arn:aws:sts::123456789012:assumed-role/analytics-role/session-2,False,medium,persistent
vol-ed92e2338bc0,volume,2024-06-03T11:41:32Z,,1099,staging,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,False,high,persistent
sg-7b5cee7b8031,security_group,2024-06-28T09:16:16Z,2024-06-28T09:30:16Z,14,dev,arn:aws:iam::123456789012:role/ci-runner-6,False,medium,ephemeral
bucket-c2cbd01cfce9,s3_bucket,2024-06-27T00:44:39Z,2024-06-27T01:11:39Z,27,dev,arn:aws:iam::123456789012:user/dev-5,False,medium,ephemeral
sg-f1503ab08216,security_group,2024-06-29T07:56:19Z,2024-06-29T08:04:19Z,8,production,arn:aws:iam::123456789012:user/dev-10,False,high,ephemeral
i-0bc048ce21bc,spot_instance,2024-06-25T22:07:53Z,2024-06-25T22:12:53Z,5,dev,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,False,medium,ephemeral
i-473b305d7b67,ec2_instance,2024-06-15T17:27:03Z,2024-06-15T17:29:03Z,2,production,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,False,medium,ephemeral
vol-fbbdb08b1f70,volume,2024-06-22T19:46:36Z,2024-06-22T19:52:36Z,6,dev,arn:aws:iam::123456789012:user/dev-12,False,low,ephemeral
vol-19b2b09788bf,volume,2024-06-27T05:22:44Z,,317,analytics,arn:aws:iam::123456789012:role/ci-runner-2,False,medium,persistent
i-82624363480b,spot_instance,2024-06-23T05:36:00Z,2024-06-23T05:49:00Z,13,production,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,False,high,ephemeral
i-b48bd2501b83,spot_instance,2024-06-04T03:57:52Z,,401,cicd,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,False,medium,persistent
bucket-a0c3a6b6f6c6,s3_bucket,2024-06-26T12:50:18Z,2024-06-26T13:28:18Z,38,cicd,arn:aws:iam::123456789012:user/dev-8,False,low,ephemeral
bucket-8b76a95b1ec5,s3_bucket,2024-06-17T05:46:03Z,2024-06-17T05:56:03Z,10,cicd,arn:aws:iam::123456789012:user/dev-5,False,high,ephemeral
vol-8cb1def8e89e,volume,2024-06-01T04:03:02Z,2024-06-01T04:15:02Z,12,staging,arn:aws:iam::123456789012:user/dev-6,True,high,ephemeral
sg-f52e1edd8be8,security_group,2024-06-24T22:47:30Z,2024-06-24T23:06:30Z,19,dev,arn:aws:iam::123456789012:role/ci-runner-7,True,high,ephemeral
i-e1422ab3ec4f,ec2_instance,2024-06-27T04:32:11Z,2024-06-27T04:54:11Z,22,production,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
sg-88092f6a2651,security_group,2024-06-24T01:16:01Z,,843,analytics,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,False,medium,persistent
vol-9f8acfa86944,volume,2024-06-21T10:16:25Z,,743,analytics,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,False,low,persistent
i-c94de51d385f,ec2_instance,2024-06-02T19:06:26Z,2024-06-02T19:10:26Z,4,staging,arn:aws:iam::123456789012:role/ci-runner-6,False,medium,ephemeral
sg-f62711328679,security_group,2024-06-04T01:20:27Z,2024-06-04T01:29:27Z,9,staging,arn:aws:iam::123456789012:role/ci-runner-2,True,high,ephemeral
i-8d4f472d98bd,ec2_instance,2024-06-06T15:04:20Z,2024-06-06T15:24:20Z,20,production,arn:aws:iam::123456789012:role/ci-runner-4,True,high,ephemeral
vol-5bdf0c7b449d,volume,2024-06-17T10:32:52Z,2024-06-17T11:30:52Z,58,cicd,arn:aws:sts::123456789012:assumed-role/analytics-role/session-2,False,medium,ephemeral
bucket-322f5c7952ad,s3_bucket,2024-06-18T18:35:42Z,2024-06-18T18:45:42Z,10,monitoring,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,False,low,ephemeral
vol-552f1004f255,volume,2024-06-19T13:06:09Z,2024-06-19T13:16:09Z,10,analytics,arn:aws:iam::123456789012:role/ci-runner-1,False,low,ephemeral
i-bda98fdddbcf,ec2_instance,2024-06-06T11:04:20Z,2024-06-06T11:21:20Z,17,production,arn:aws:sts::123456789012:assumed-role/analytics-role/session-4,False,high,ephemeral
i-c2c6f1a21853,ec2_instance,2024-06-01T04:35:05Z,2024-06-01T04:45:05Z,10,dev,arn:aws:iam::123456789012:user/dev-1,False,high,ephemeral
bucket-97307af4a492,s3_bucket,2024-06-16T09:30:40Z,2024-06-16T09:39:40Z,9,cicd,arn:aws:iam::123456789012:user/dev-12,True,high,ephemeral
sg-ca902dcd55df,security_group,2024-06-03T04:12:57Z,2024-06-03T04:46:57Z,34,dev,arn:aws:iam::123456789012:user/dev-4,False,low,ephemeral
sg-bd5901ae93fa,security_group,2024-06-21T17:32:27Z,2024-06-21T17:35:27Z,3,production,arn:aws:sts::123456789012:assumed-role/analytics-role/session-4,False,low,ephemeral
bucket-556602bfddee,s3_bucket,2024-06-18T20:50:13Z,2024-06-18T21:03:13Z,13,analytics,arn:aws:iam::123456789012:role/ci-runner-1,False,low,ephemeral
bucket-bf3fdaf09bc5,s3_bucket,2024-06-18T07:35:05Z,2024-06-18T07:49:05Z,14,cicd,arn:aws:iam::123456789012:role/ci-runner-2,False,medium,ephemeral
i-7b0660fed073,spot_instance,2024-06-08T07:29:38Z,,862,monitoring,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,False,low,persistent
sg-c5798fef696f,security_group,2024-06-13T12:28:26Z,2024-06-13T13:26:26Z,58,monitoring,arn:aws:iam::123456789012:user/dev-6,False,low,ephemeral
sg-8ba3bb85c367,security_group,2024-06-18T22:31:08Z,2024-06-18T23:16:08Z,45,staging,arn:aws:iam::123456789012:user/dev-11,False,medium,ephemeral
sg-7c493d368a3a,security_group,2024-06-03T07:53:29Z,,69,monitoring,arn:aws:iam::123456789012:user/dev-10,False,low,persistent
bucket-f07f5fb39d6f,s3_bucket,2024-06-18T06:51:14Z,2024-06-18T07:04:14Z,13,dev,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,False,low,ephemeral
i-a248258e657b,ec2_instance,2024-06-29T16:22:41Z,2024-06-29T16:49:41Z,27,analytics,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,False,low,ephemeral
i-938f4561afcc,spot_instance,2024-06-11T00:03:53Z,,1411,analytics,arn:aws:iam::123456789012:user/dev-9,False,low,persistent
i-66f720faf113,ec2_instance,2024-06-11T06:35:50Z,2024-06-11T06:48:50Z,13,staging,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
vol-06d6d12c237d,volume,2024-06-12T12:31:45Z,2024-06-12T12:52:45Z,21,production,arn:aws:iam::123456789012:user/dev-1,False,low,ephemeral
sg-bfd727278bb8,security_group,2024-06-22T18:54:19Z,2024-06-22T18:56:19Z,2,cicd,arn:aws:iam::123456789012:user/dev-14,False,low,ephemeral
bucket-36168dda4bd2,s3_bucket,2024-06-27T08:12:38Z,2024-06-27T08:25:38Z,13,production,arn:aws:iam::123456789012:user/dev-4,False,medium,ephemeral
i-dad8dab76c94,ec2_instance,2024-06-11T01:39:45Z,2024-06-11T02:27:45Z,48,dev,arn:aws:iam::123456789012:user/dev-5,False,medium,ephemeral
bucket-41eee073d53b,s3_bucket,2024-06-06T07:36:05Z,2024-06-06T07:48:05Z,12,analytics,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
i-6fb1f50645df,spot_instance,2024-06-26T09:48:00Z,2024-06-26T09:59:00Z,11,dev,arn:aws:iam::123456789012:user/dev-2,False,low,ephemeral
sg-3db9bace83c8,security_group,2024-06-26T19:01:01Z,2024-06-26T19:46:01Z,45,staging,arn:aws:iam::123456789012:user/dev-2,False,medium,ephemeral
sg-a9f71658e222,security_group,2024-06-11T07:52:11Z,2024-06-11T08:06:11Z,14,staging,arn:aws:sts::123456789012:assumed-role/analytics-role/session-3,False,low,ephemeral
sg-a0b6922e8d03,security_group,2024-06-21T11:37:45Z,2024-06-21T12:12:45Z,35,cicd,arn:aws:iam::123456789012:user/dev-7,False,medium,ephemeral
vol-e5e97030358c,volume,2024-06-01T04:07:57Z,2024-06-01T04:28:57Z,21,production,arn:aws:iam::123456789012:user/dev-6,False,medium,ephemeral
sg-800c8a1902d6,security_group,2024-06-25T11:39:16Z,,1222,monitoring,arn:aws:iam::123456789012:user/dev-10,False,medium,persistent
bucket-fcd947b9420c,s3_bucket,2024-06-17T22:15:54Z,2024-06-17T22:21:54Z,6,dev,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
vol-06c3e0b34e14,volume,2024-06-29T06:35:30Z,,883,analytics,arn:aws:iam::123456789012:role/ci-runner-5,False,low,persistent
i-0b7c417535cd,ec2_instance,2024-06-19T13:51:33Z,2024-06-19T14:14:33Z,23,dev,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,False,medium,ephemeral
vol-47b0389ff37a,volume,2024-06-24T13:48:23Z,2024-06-24T13:51:23Z,3,cicd,arn:aws:iam::123456789012:role/ci-runner-7,False,medium,ephemeral
sg-57872bb97ff0,security_group,2024-06-09T07:41:31Z,2024-06-09T07:47:31Z,6,dev,arn:aws:iam::123456789012:role/ci-runner-2,False,low,ephemeral
vol-58cbb2203e33,volume,2024-06-06T17:35:56Z,2024-06-06T18:19:56Z,44,analytics,arn:aws:iam::123456789012:user/dev-11,False,low,ephemeral
bucket-83e2653c57e4,s3_bucket,2024-06-24T00:20:54Z,2024-06-24T01:11:54Z,51,dev,arn:aws:iam::123456789012:user/dev-14,False,high,ephemeral
i-175cf7669987,spot_instance,2024-06-09T06:19:07Z,2024-06-09T06:45:07Z,26,production,arn:aws:iam::123456789012:role/ci-runner-1,False,low,ephemeral
sg-faac4be6453a,security_group,2024-06-13T04:22:58Z,2024-06-13T05:06:58Z,44,dev,arn:aws:iam::123456789012:user/dev-10,False,low,ephemeral
i-111fde9f340c,ec2_instance,2024-06-03T06:16:06Z,2024-06-03T07:11:06Z,55,cicd,arn:aws:iam::123456789012:user/dev-1,False,low,ephemeral
i-d3c6f3f3f984,ec2_instance,2024-06-17T03:19:09Z,2024-06-17T03:47:09Z,28,monitoring,arn:aws:iam::123456789012:user/dev-1,False,low,ephemeral
i-3026c415b20b,spot_instance,2024-06-25T14:17:40Z,2024-06-25T14:23:40Z,6,cicd,arn:aws:sts::123456789012:assumed-role/analytics-role/session-2,False,low,ephemeral
i-7bbcfb5b6af5,ec2_instance,2024-06-27T01:59:45Z,2024-06-27T02:57:45Z,58,production,arn:aws:iam::123456789012:user/dev-9,False,low,ephemeral
sg-458647102b3c,security_group,2024-06-02T03:48:07Z,2024-06-02T04:01:07Z,13,production,arn:aws:iam::123456789012:user/dev-5,False,low,ephemeral
i-8c3767f0e87b,ec2_instance,2024-06-17T07:14:43Z,2024-06-17T07:26:43Z,12,cicd,arn:aws:iam::123456789012:user/dev-7,False,medium,ephemeral
vol-408124ba78fd,volume,2024-06-23T17:53:26Z,2024-06-23T18:07:26Z,14,cicd,arn:aws:iam::123456789012:user/dev-5,False,high,ephemeral
bucket-2c407ae04307,s3_bucket,2024-06-26T15:07:30Z,,561,analytics,arn:aws:iam::123456789012:role/ci-runner-1,False,medium,persistent
i-3ed4de5c3cf9,spot_instance,2024-06-18T12:21:35Z,2024-06-18T12:38:35Z,17,analytics,arn:aws:iam::123456789012:user/dev-4,False,low,ephemeral
i-6b469699ed75,ec2_instance,2024-06-07T04:10:40Z,2024-06-07T04:15:40Z,5,dev,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,False,high,ephemeral
vol-77e621d51442,volume,2024-06-04T23:26:49Z,2024-06-04T23:57:49Z,31,staging,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
bucket-74a28123bd61,s3_bucket,2024-06-27T22:06:39Z,2024-06-27T22:18:39Z,12,analytics,arn:aws:iam::123456789012:user/dev-9,False,high,ephemeral
i-5f2fef9574d4,ec2_instance,2024-06-07T22:51:11Z,2024-06-07T23:34:11Z,43,cicd,arn:aws:iam::123456789012:role/ci-runner-7,False,medium,ephemeral
vol-9c761fd41bd2,volume,2024-06-16T20:07:02Z,2024-06-16T20:50:02Z,43,dev,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
i-f2a4af94956a,spot_instance,2024-06-19T00:49:29Z,2024-06-19T01:32:29Z,43,monitoring,arn:aws:iam::123456789012:role/ci-runner-7,False,low,ephemeral
sg-4ac3ba983fab,security_group,2024-06-08T05:15:51Z,2024-06-08T05:47:51Z,32,staging,arn:aws:iam::123456789012:user/dev-9,False,low,ephemeral
vol-c724da377c7a,volume,2024-06-18T12:30:12Z,2024-06-18T12:41:12Z,11,dev,arn:aws:sts::123456789012:assumed-role/analytics-role/session-1,False,medium,ephemeral
sg-b6630e762d9d,security_group,2024-06-21T17:04:44Z,2024-06-21T17:39:44Z,35,staging,arn:aws:iam::123456789012:user/dev-12,False,medium,ephemeral
bucket-0bc7dc21a5ba,s3_bucket,2024-06-11T08:48:39Z,,693,staging,arn:aws:iam::123456789012:user/dev-12,False,low,persistent
sg-359ddeb44b98,security_group,2024-06-20T12:59:46Z,2024-06-20T13:21:46Z,22,analytics,arn:aws:iam::123456789012:user/dev-12,False,medium,ephemeral
i-77fda0490a80,ec2_instance,2024-06-20T23:54:05Z,2024-06-20T23:58:05Z,4,analytics,arn:aws:iam::123456789012:user/dev-4,False,medium,ephemeral
i-0ace12b13bcc,ec2_instance,2024-06-25T04:37:16Z,2024-06-25T05:04:16Z,27,dev,arn:aws:sts::123456789012:assumed-role/analytics-role/session-5,False,low,ephemeral
i-511a4b8bf58f,ec2_instance,2024-06-23T09:14:56Z,2024-06-23T09:56:56Z,42,dev,arn:aws:iam::123456789012:role/ci-runner-3,False,medium,ephemeral
