event_id,timestamp,namespace,pod_name,event_type,controller_owner,service_account,image_name,privileged,host_network,public_exposure,node_port,ttl_minutes,labels_present,cpu_request,memory_request,correlation_id
k8s-5583f63d78af,2024-06-09T17:34:34Z,analytics,api-ana-ae6dfe,ConfigMapCreated,Job,ci-runner,ubuntu:22.04,False,False,False,0,16,True,424m,3518Mi,corr-461fefb64c134d32
k8s-64c5e57f4e73,2024-06-18T17:07:44Z,staging,cache-sta-eedbc7,ClusterRoleBindingCreated,Job,analytics-sa,python:3.11-slim,False,False,False,0,44,True,863m,1024Mi,corr-2c67001d88774ba2
k8s-e513350a5e98,2024-06-16T17:55:12Z,dev,builder-dev-d50d1c,SecretMounted,Job,admin-sa,grafana:10.0,False,False,False,0,37,True,654m,1737Mi,corr-7568f72aaf23465a
k8s-119dd70f5681,2024-06-27T17:48:51Z,monitoring,worker-mon-b5b8c1,PodCreated,CronJob,default,ubuntu:22.04,False,False,False,0,7,True,377m,2841Mi,corr-61e4a0ce6fc14a1f
k8s-4bf7dd428104,2024-06-02T12:09:40Z,staging,analytics-sta-19f2af,DeploymentCreated,Deployment,monitor-sa,nginx:1.25,False,False,False,0,34,True,244m,2071Mi,corr-05809f7558504779
k8s-b6420fd2172d,2024-06-13T13:20:25Z,production,db-migrate-pro-f94c53,RoleBindingCreated,CronJob,analytics-sa,redis:7,False,False,False,0,44,True,1695m,817Mi,corr-489130bc33d54aa7
k8s-41fcf51407e4,2024-06-26T10:32:56Z,staging,cache-sta-040d0c,DeploymentCreated,HPA,debug-sa,grafana:10.0,False,False,False,0,55,True,623m,2628Mi,corr-0380747101704f9c
k8s-bf3e5cff0070,2024-06-18T16:30:07Z,production,api-pro-cbdaba,PodCreated,HPA,debug-sa,redis:7,False,False,False,0,20,True,834m,2258Mi,corr-f711a3f55c364c02
k8s-51afd9d3b3d2,2024-06-17T13:14:56Z,cicd,analytics-cic-86c4a1,ConfigMapCreated,CronJob,default,python:3.11-slim,False,False,False,0,11,True,948m,3725Mi,corr-577e80606a2247b0
k8s-4c5bbf5bb7dc,2024-06-18T14:58:33Z,dev,cache-dev-80c853,PodDeleted,Job,default,ci-runner:latest,False,False,False,0,7,True,925m,1036Mi,corr-76c6787ecaa84c80
k8s-1db7a73c49ec,2024-06-08T12:32:58Z,staging,linter-sta-534b06,PodCreated,HPA,debug-sa,python:3.11-slim,False,False,False,0,4,True,1448m,885Mi,corr-2ca32b8df89b48cf
k8s-a9f066b975de,2024-06-22T16:59:49Z,analytics,worker-ana-cb1894,ServiceCreated,Deployment,admin-sa,ubuntu:22.04,False,False,False,0,17,True,1054m,1957Mi,corr-574362e20a2646fb
k8s-7b7cd819b7f7,2024-06-17T11:56:57Z,analytics,api-ana-6d39be,ClusterRoleBindingCreated,Job,monitor-sa,python:3.11-slim,False,False,False,0,16,True,854m,2646Mi,corr-d09b197e007a4e56
k8s-893c2810adf8,2024-06-27T11:02:27Z,analytics,db-migrate-ana-c67e2f,ServiceCreated,Deployment,default,prometheus:v2.45,False,False,False,0,30,True,285m,1667Mi,corr-8cb6a12c2c254806
k8s-757181585789,2024-06-24T16:53:40Z,dev,batch-dev-77e284,PodCreated,CronJob,monitor-sa,ubuntu:22.04,False,False,False,0,7,True,901m,3550Mi,corr-c9c5147b30004c39
k8s-d2d119325bf3,2024-06-01T14:46:34Z,cicd,test-runner-cic-9f1702,PodCreated,Deployment,debug-sa,python:3.11-slim,False,False,False,0,11,True,970m,3429Mi,corr-4363d15559a24247
k8s-76ffe702ac24,2024-06-18T14:55:04Z,staging,test-runner-sta-c588cb,ClusterRoleBindingCreated,Deployment,admin-sa,python:3.11-slim,False,False,False,0,53,True,164m,3285Mi,corr-87f0684d7c2748e5
k8s-e2de510f074b,2024-06-09T13:35:19Z,staging,worker-sta-ffa55d,ServiceCreated,HPA,deploy-sa,node:20-alpine,False,False,False,0,24,True,653m,1967Mi,corr-64f1d1ee9a4f4136
k8s-dbe1d6cbf890,2024-06-30T12:05:51Z,cicd,test-runner-cic-5fd66d,PodCreated,HPA,ci-runner,golang:1.21,False,False,False,0,7,True,1323m,1914Mi,corr-c8bbee98ecdc45c5
k8s-51a325c97c60,2024-06-24T15:20:40Z,monitoring,builder-mon-5e237f,PodDeleted,CronJob,ci-runner,redis:7,False,False,False,0,9,True,862m,2861Mi,corr-355c168df0234fa5
k8s-5e1c49f6e32a,2024-06-09T12:01:11Z,staging,cache-sta-ff47f9,PodCreated,DaemonSet,ci-runner,redis:7,False,False,False,0,86,True,1491m,1288Mi,corr-2be45c676a0a487b
k8s-2555da4adb21,2024-06-04T17:46:04Z,production,builder-pro-909b74,PodCreated,Deployment,default,redis:7,False,False,False,0,3,True,1542m,377Mi,corr-bd9b78f9141b4274
k8s-00618a6c4468,2024-06-11T15:18:19Z,staging,scanner-sta-efbd3a,ClusterRoleBindingCreated,CronJob,admin-sa,golang:1.21,False,False,False,0,21,True,210m,572Mi,corr-501ffe23692e4036
k8s-1420d5030232,2024-06-11T10:37:50Z,monitoring,batch-mon-f609db,DeploymentCreated,Job,ci-runner,redis:7,False,False,False,0,27,True,1639m,1507Mi,corr-fdc6a2e26afd4c7a
k8s-d0bc1419f0aa,2024-06-22T14:08:41Z,dev,scanner-dev-0f1254,PodCreated,Deployment,ci-runner,python:3.11-slim,False,False,False,0,9,True,1975m,2988Mi,corr-cd95312c47844d14
k8s-49e9727bd213,2024-06-18T17:52:02Z,monitoring,test-runner-mon-9452e9,DeploymentCreated,Deployment,analytics-sa,python:3.11-slim,False,False,False,0,47,True,1090m,2733Mi,corr-071757abf45541d0
k8s-c35d4543cf1c,2024-06-13T11:05:34Z,dev,batch-dev-65bfcf,RoleBindingCreated,HPA,admin-sa,ubuntu:22.04,False,False,False,0,53,True,1759m,494Mi,corr-15fa3cf58ed84bd7
k8s-c892517d7804,2024-06-15T09:37:44Z,monitoring,linter-mon-b36256,PodDeleted,Job,admin-sa,grafana:10.0,False,False,False,0,8,True,213m,1484Mi,corr-d403c3a58ddd49ec
k8s-d63e2417cb12,2024-06-21T13:35:22Z,monitoring,linter-mon-dcf558,ServiceCreated,Deployment,debug-sa,golang:1.21,False,False,False,0,5,True,146m,1707Mi,corr-fbffb24f24594584
k8s-7bb08828ec78,2024-06-04T13:24:46Z,production,worker-pro-2d75a2,RoleBindingCreated,DaemonSet,analytics-sa,prometheus:v2.45,False,False,False,0,37,True,1719m,1503Mi,corr-32039434a411496e
k8s-1bb7db9c3280,2024-06-09T09:55:46Z,analytics,db-migrate-ana-36e788,ServiceCreated,None,admin-sa,custom-app:v2.1,True,False,False,0,14,True,1741m,2925Mi,corr-82160cae539740ac
k8s-1d11c3c51912,2024-06-15T11:02:43Z,analytics,api-ana-867b1f,SecretMounted,HPA,admin-sa,golang:1.21,False,False,False,0,12,True,1308m,1417Mi,corr-492de0da6cfa4f3f
k8s-d82985fe61bf,2024-06-25T13:47:26Z,dev,db-migrate-dev-3ac64d,DeploymentCreated,Job,debug-sa,node:20-alpine,False,False,False,0,56,True,1044m,2397Mi,corr-6bdb9650dea44f15
k8s-5881c383009f,2024-06-24T11:34:42Z,production,worker-pro-76ce8f,DeploymentCreated,Deployment,admin-sa,custom-app:v2.1,False,False,False,0,49,True,1507m,2812Mi,corr-10aa0d94dfa24ef0
k8s-93b17f4b3331,2024-06-02T10:18:26Z,monitoring,analytics-mon-a11bed,ServiceCreated,Deployment,deploy-sa,node:20-alpine,False,False,False,0,28,True,194m,3646Mi,corr-58cfe6a41d30481e
k8s-930a9ad1a953,2024-06-22T15:22:47Z,production,test-runner-pro-760231,PodDeleted,Deployment,deploy-sa,grafana:10.0,False,False,False,0,10,True,435m,517Mi,corr-33a48858a00d4282
k8s-127781cbcb67,2024-06-26T13:04:54Z,analytics,analytics-ana-d7fcb2,DeploymentCreated,Job,admin-sa,golang:1.21,False,False,False,0,27,True,1301m,3044Mi,corr-6149292a3bff4366
k8s-9c5f05789b63,2024-06-08T14:46:21Z,production,worker-pro-f911d5,ClusterRoleBindingCreated,Job,admin-sa,redis:7,False,False,True,31163,7,True,1896m,324Mi,corr-681925ea9c2e4d34
k8s-c7ded916fb03,2024-06-14T13:38:47Z,cicd,linter-cic-e4812c,PodDeleted,Job,debug-sa,golang:1.21,False,False,False,0,5,True,1214m,181Mi,corr-598b5967ffd04624
k8s-4d8d6880694d,2024-06-09T16:52:01Z,staging,builder-sta-f78c30,PodDeleted,Job,deploy-sa,prometheus:v2.45,False,False,False,0,19,True,1605m,1709Mi,corr-9ead490ff46643bd
k8s-93477ca148fb,2024-06-22T14:15:39Z,analytics,linter-ana-fba55e,SecretMounted,Deployment,debug-sa,python:3.11-slim,False,False,False,0,41,True,1949m,3332Mi,corr-691806cee4da4e92
k8s-5c5746dea787,2024-06-19T12:07:26Z,analytics,worker-ana-a4c0cb,PodCreated,Deployment,default,grafana:10.0,False,False,False,0,78,True,885m,916Mi,corr-dfa71f24242f4742
k8s-cd36dbe0378b,2024-06-02T15:51:37Z,dev,api-dev-9f3995,SecretMounted,CronJob,default,python:3.11-slim,False,False,False,0,53,True,334m,466Mi,corr-052609c099e44542
k8s-5f873e6c8341,2024-06-25T20:50:16Z,analytics,cache-ana-a53a2b,PodCreated,Deployment,admin-sa,node:20-alpine,True,True,True,30025,15,False,1907m,289Mi,corr-8671f31e61624f83
k8s-04017d4f889b,2024-06-22T10:51:42Z,production,builder-pro-709a88,DeploymentCreated,Job,analytics-sa,redis:7,False,False,False,0,58,True,238m,3649Mi,corr-dfca43ffa255456f
k8s-eba15593567c,2024-06-12T12:53:32Z,staging,linter-sta-60eb5c,PodCreated,Deployment,admin-sa,grafana:10.0,False,False,False,0,87,True,488m,3610Mi,corr-cbbb96834f304292
k8s-08f3f4864342,2024-06-17T12:25:49Z,analytics,scanner-ana-afdda8,DeploymentCreated,Job,analytics-sa,golang:1.21,False,False,False,0,38,True,739m,2948Mi,corr-eb586bf38c51408d
k8s-f509ced0e131,2024-06-11T09:46:26Z,production,api-pro-4117fe,ClusterRoleBindingCreated,Deployment,monitor-sa,redis:7,False,False,False,0,20,True,393m,2157Mi,corr-1f8b4c04186b4d35
k8s-0765c2dcc1ab,2024-06-07T12:25:48Z,production,test-runner-pro-d407ce,ServiceCreated,Deployment,default,node:20-alpine,False,False,False,0,20,True,302m,185Mi,corr-25050543a618485b
k8s-f6c577d2e7e0,2024-06-01T11:20:03Z,dev,linter-dev-adf408,PodDeleted,HPA,default,node:20-alpine,False,False,False,0,7,True,253m,3765Mi,corr-c60a7a8805494d78
k8s-0fa341dfa3ad,2024-06-04T14:31:23Z,dev,db-migrate-dev-bf92d0,SecretMounted,HPA,default,ci-runner:latest,False,False,False,0,52,True,1579m,2581Mi,corr-97afd440006447de
k8s-f16ac04bb58b,2024-06-20T16:17:03Z,dev,worker-dev-85fbf0,ConfigMapCreated,Deployment,default,node:20-alpine,False,False,False,0,64,True,131m,1423Mi,corr-46dc35f06da8477e
k8s-48701164f3c1,2024-06-13T13:34:26Z,production,linter-pro-01576e,ServiceCreated,None,monitor-sa,nginx:1.25,False,False,False,0,16,True,1063m,914Mi,corr-9ab29767d20143eb
k8s-35960fbafcac,2024-06-10T17:02:12Z,cicd,db-migrate-cic-ecd24c,PodCreated,StatefulSet,debug-sa,node:20-alpine,False,False,False,0,21,True,1109m,3089Mi,corr-d705aae59bb54e0d
k8s-0beae5dc9137,2024-06-26T11:44:40Z,analytics,scanner-ana-cad367,RoleBindingCreated,CronJob,debug-sa,ubuntu:22.04,False,False,False,0,18,True,564m,3621Mi,corr-c3602bd9d2104125
k8s-e7d8c8738ae5,2024-06-16T14:59:55Z,production,cache-pro-64f7fb,ServiceCreated,Job,default,nginx:1.25,False,False,False,0,13,True,354m,3871Mi,corr-b643ebf9d0c84f1d
k8s-c7da227d06c4,2024-06-15T15:21:27Z,monitoring,analytics-mon-864bc8,ConfigMapCreated,Deployment,admin-sa,ci-runner:latest,False,False,False,0,56,True,1963m,3008Mi,corr-904fcdefdb324cb1
k8s-c8c8a2ffd02c,2024-06-09T14:56:41Z,production,linter-pro-c6f52d,PodDeleted,Deployment,debug-sa,ci-runner:latest,False,False,False,0,16,True,1219m,2022Mi,corr-faef6edc91e74f6e
k8s-037cd916f0e8,2024-06-20T15:17:37Z,production,worker-pro-27f3e8,SecretMounted,Deployment,debug-sa,redis:7,False,False,False,0,25,True,1818m,3088Mi,corr-10142b83efae41c6
k8s-5f8e903cc7d2,2024-06-29T16:38:57Z,monitoring,worker-mon-3e6d8f,ConfigMapCreated,Job,monitor-sa,nginx:1.25,False,False,False,0,28,True,772m,134Mi,corr-bcc35d7cb8aa47e3
k8s-7eca9ca46d67,2024-06-16T15:28:38Z,dev,test-runner-dev-5a458d,ConfigMapCreated,HPA,admin-sa,ubuntu:22.04,False,False,False,0,58,True,1562m,2381Mi,corr-46f2fd6f90b3481e
k8s-86a9af6f484d,2024-06-19T13:08:06Z,dev,analytics-dev-0178f4,DeploymentCreated,Deployment,default,golang:1.21,False,False,False,0,54,True,632m,1313Mi,corr-8f75a47689d54173
k8s-0574638da70c,2024-06-25T12:10:28Z,analytics,test-runner-ana-e9d7eb,PodDeleted,None,admin-sa,ci-runner:latest,True,True,False,0,7,True,1984m,456Mi,corr-c347312ca9734b1d
k8s-6c8ba7bf67f1,2024-06-28T17:30:42Z,staging,scanner-sta-74fa63,ServiceCreated,HPA,default,ubuntu:22.04,False,False,False,0,21,True,603m,3904Mi,corr-93087132a6e44b90
k8s-93e439bf5e02,2024-06-07T09:29:57Z,dev,builder-dev-40e1bc,RoleBindingCreated,Deployment,debug-sa,nginx:1.25,False,False,False,0,26,True,1059m,1356Mi,corr-d9130204064a485b
k8s-7e00fc8a0232,2024-06-03T17:44:14Z,staging,analytics-sta-906022,ServiceCreated,Job,debug-sa,redis:7,False,False,False,0,53,True,1517m,1919Mi,corr-70c9b1ced6d8475d
k8s-ea3ebe239906,2024-06-15T13:17:51Z,monitoring,cache-mon-871f86,PodCreated,Job,monitor-sa,prometheus:v2.45,False,False,False,0,20,True,190m,3315Mi,corr-5e47599b043e461b
k8s-5a319bbb0b01,2024-06-01T09:26:32Z,dev,cache-dev-0a8b96,PodDeleted,Job,debug-sa,node:20-alpine,False,False,False,0,4,True,1316m,2815Mi,corr-e92806b4ba8a455b
k8s-3740050a4e5c,2024-06-24T10:51:22Z,analytics,worker-ana-727bf6,ClusterRoleBindingCreated,Deployment,monitor-sa,python:3.11-slim,False,False,False,0,68,True,460m,846Mi,corr-29553c0fc5bd4334
k8s-d2bed2ba92c0,2024-06-19T14:35:34Z,production,analytics-pro-207472,ConfigMapCreated,Deployment,ci-runner,nginx:1.25,False,False,False,0,39,True,1335m,3536Mi,corr-c3ba1bbc9b9b4855
k8s-d1a5ba696ae8,2024-06-21T12:59:28Z,cicd,batch-cic-4790ed,PodDeleted,HPA,deploy-sa,python:3.11-slim,False,False,False,0,18,True,906m,825Mi,corr-7af32c9c2d6d442a
k8s-bf936bca7231,2024-06-17T17:16:00Z,analytics,db-migrate-ana-9563fa,ServiceCreated,Job,ci-runner,nginx:1.25,False,False,False,0,43,True,905m,2550Mi,corr-fd811324bd4b4f1f
k8s-bfb32acf5dac,2024-06-14T09:14:50Z,production,batch-pro-8ef0fd,ConfigMapCreated,CronJob,debug-sa,node:20-alpine,False,False,False,0,23,True,327m,3319Mi,corr-8807580b3e2c4983
k8s-77c4bf98ce30,2024-06-24T15:47:09Z,analytics,analytics-ana-8e51a8,PodCreated,HPA,ci-runner,prometheus:v2.45,False,False,False,0,19,True,432m,132Mi,corr-b66d1500359f46f2
k8s-2d8ab6b0e007,2024-06-28T15:26:06Z,staging,cache-sta-877187,SecretMounted,Job,default,prometheus:v2.45,False,False,False,0,53,True,1033m,3895Mi,corr-e44616db397e44fa
k8s-779310995b1b,2024-06-06T11:31:42Z,monitoring,cache-mon-edd1e3,PodCreated,HPA,debug-sa,prometheus:v2.45,False,False,False,0,3,True,304m,506Mi,corr-5fe5786f1e4f4c58
k8s-c9dc68dd475e,2024-06-14T11:42:25Z,dev,batch-dev-b0828e,DeploymentCreated,HPA,monitor-sa,grafana:10.0,False,False,False,0,46,True,203m,1781Mi,corr-76b1a49a97674ee0
k8s-d42f3516eb01,2024-06-03T09:54:48Z,staging,worker-sta-b4bcfd,ServiceCreated,DaemonSet,admin-sa,ci-runner:latest,False,False,False,0,74,True,1155m,2814Mi,corr-f6fe07568f6844aa
k8s-e2e7a30bb341,2024-06-12T09:23:46Z,cicd,cache-cic-6a6184,PodDeleted,HPA,admin-sa,custom-app:v2.1,False,False,False,0,11,True,1916m,2753Mi,corr-180cdeb87c1c4997
k8s-2629daa6f3a8,2024-06-03T12:11:04Z,production,cache-pro-5c1bd6,PodCreated,Deployment,analytics-sa,python:3.11-slim,False,False,False,0,23,True,779m,1580Mi,corr-717c85dac14d4dc3
k8s-d078bf9f719e,2024-06-29T15:55:30Z,staging,builder-sta-5dea91,DeploymentCreated,HPA,monitor-sa,nginx:1.25,False,False,False,0,51,True,577m,2027Mi,corr-001e6434d2164d02
k8s-cd66999c4d94,2024-06-06T10:34:46Z,monitoring,analytics-mon-ab5bdd,PodDeleted,Job,admin-sa,ubuntu:22.04,False,False,False,0,6,True,1954m,2144Mi,corr-c453dd88faa34f99
k8s-e8a518ec71d7,2024-06-14T12:26:23Z,cicd,test-runner-cic-866995,DeploymentCreated,HPA,default,custom-app:v2.1,False,False,False,0,53,True,1239m,3199Mi,corr-deb2430455ff402f
k8s-437593cb7c59,2024-06-15T09:05:39Z,dev,batch-dev-ec6dea,DeploymentCreated,Job,monitor-sa,nginx:1.25,False,False,False,0,13,True,1411m,759Mi,corr-55cbe6f357c74299
k8s-68233cb76310,2024-06-18T17:14:41Z,cicd,builder-cic-4ff4a4,DeploymentCreated,HPA,debug-sa,redis:7,False,False,False,0,59,True,116m,2744Mi,corr-9a45be27d3194210
k8s-b80813c9ebeb,2024-06-09T12:36:28Z,staging,linter-sta-025c06,PodCreated,Job,deploy-sa,nginx:1.25,False,False,False,0,6,True,674m,833Mi,corr-3893207e559d4d9a
k8s-5de1b4b325cd,2024-06-14T17:53:17Z,dev,worker-dev-5f3a12,DeploymentCreated,Deployment,monitor-sa,nginx:1.25,False,False,False,0,19,True,1845m,2724Mi,corr-9afb1567079b48d0
k8s-17497fdb2bab,2024-06-15T11:37:01Z,dev,test-runner-dev-3b7eb5,PodDeleted,Job,monitor-sa,ubuntu:22.04,False,False,False,0,6,True,284m,2876Mi,corr-f6ea873231144664
k8s-c969f1f59cbf,2024-06-13T17:04:37Z,monitoring,test-runner-mon-8af44e,ServiceCreated,HPA,analytics-sa,prometheus:v2.45,False,False,False,0,33,True,992m,510Mi,corr-a1a46d812b5342f5
k8s-7e21e367c833,2024-06-13T14:50:28Z,analytics,db-migrate-ana-5443f8,PodCreated,Job,ci-runner,custom-app:v2.1,False,False,False,0,88,True,370m,3889Mi,corr-eead82366d144db9
k8s-6aee0c4d17f3,2024-06-14T17:17:17Z,staging,api-sta-ca6200,PodDeleted,CronJob,deploy-sa,nginx:1.25,False,False,False,0,33,True,1179m,1477Mi,corr-6a9f5e15aa324f9e
k8s-d9a0c8c80e89,2024-06-01T11:59:09Z,staging,cache-sta-a905dc,PodCreated,HPA,monitor-sa,nginx:1.25,False,False,False,0,8,True,541m,3944Mi,corr-3bd0cdd822cd4e33
k8s-be5e6a6560e9,2024-06-26T12:11:10Z,cicd,builder-cic-a47ec0,DeploymentCreated,Deployment,monitor-sa,python:3.11-slim,False,False,False,0,60,True,364m,1056Mi,corr-d61fa37b33984eba
k8s-d62bc48cbac0,2024-06-17T09:08:36Z,dev,builder-dev-65da2a,PodDeleted,Deployment,debug-sa,ubuntu:22.04,False,False,False,0,39,True,1005m,1342Mi,corr-350b56c344d54ed4
k8s-d592be0bc9ee,2024-06-24T10:29:49Z,staging,builder-sta-c3fb07,DeploymentCreated,CronJob,debug-sa,prometheus:v2.45,False,False,False,0,51,True,447m,253Mi,corr-5288d1099a97482b
k8s-6cb82b33089a,2024-06-07T09:14:23Z,production,worker-pro-377300,ServiceCreated,HPA,deploy-sa,redis:7,False,False,False,0,42,True,1966m,3145Mi,corr-f26800f37b1249d6
k8s-951ff62df535,2024-06-07T16:22:30Z,dev,scanner-dev-57cc1c,PodCreated,Deployment,monitor-sa,grafana:10.0,False,False,False,0,4,True,1900m,1609Mi,corr-54c8dad273534605
k8s-63041e5e69dd,2024-06-30T12:46:25Z,monitoring,scanner-mon-2a0eee,PodCreated,DaemonSet,debug-sa,python:3.11-slim,False,False,False,0,10,True,398m,1199Mi,corr-7d1ba058b33748f5
k8s-09bd25de0699,2024-06-17T15:42:07Z,monitoring,linter-mon-ea6763,DeploymentCreated,Job,admin-sa,redis:7,False,False,False,0,66,True,1696m,2044Mi,corr-31ada121347548c8
k8s-fc0ed5934f92,2024-06-16T11:49:32Z,analytics,analytics-ana-daedf7,RoleBindingCreated,Deployment,debug-sa,ci-runner:latest,False,False,False,0,63,True,1174m,445Mi,corr-d486b934a3af4c1a
k8s-3d23a255633d,2024-06-02T11:02:46Z,staging,builder-sta-d872c0,ClusterRoleBindingCreated,CronJob,monitor-sa,ubuntu:22.04,False,False,False,0,29,True,1001m,2851Mi,corr-563cdfa84b4c4de3
k8s-2573a596c251,2024-06-13T16:02:59Z,analytics,analytics-ana-b6ea26,RoleBindingCreated,Deployment,admin-sa,python:3.11-slim,False,False,False,0,41,True,1183m,2146Mi,corr-fd81891988cd4181
k8s-9c98b1bb18d7,2024-06-24T12:32:50Z,production,batch-pro-55d861,PodCreated,Deployment,ci-runner,node:20-alpine,False,False,False,0,50,True,456m,3451Mi,corr-a9b60ea6bfb0421c
k8s-3d1d9613ccaa,2024-06-30T10:04:17Z,monitoring,scanner-mon-2bd4ba,PodCreated,None,admin-sa,grafana:10.0,True,False,False,0,9,True,1631m,4079Mi,corr-3b352c55d47d4c08
k8s-ebd9ac647996,2024-06-26T16:56:26Z,staging,db-migrate-sta-d3edc1,SecretMounted,Job,monitor-sa,golang:1.21,False,False,False,0,25,True,1732m,162Mi,corr-5a71cc847c2946f9
k8s-d44494067079,2024-06-14T14:46:51Z,dev,analytics-dev-1e2ddf,RoleBindingCreated,CronJob,debug-sa,grafana:10.0,False,False,False,0,16,True,104m,712Mi,corr-a42c1b91060f4a5c
k8s-1c2a34b09500,2024-06-18T10:09:02Z,monitoring,db-migrate-mon-04615b,SecretMounted,CronJob,deploy-sa,grafana:10.0,False,False,False,0,40,True,1891m,452Mi,corr-a2e7c6b535de4f57
k8s-51981e26d3b6,2024-06-28T17:26:59Z,dev,test-runner-dev-7a1e15,PodDeleted,Deployment,ci-runner,redis:7,False,False,False,0,58,True,1475m,3454Mi,corr-bdace479cd4e4871
k8s-6703b8e55360,2024-06-24T15:37:06Z,dev,test-runner-dev-ad1712,PodDeleted,HPA,analytics-sa,grafana:10.0,False,False,False,0,17,True,1072m,746Mi,corr-88bba9a446c04d48
k8s-b15c838dcf5c,2024-06-09T13:00:54Z,cicd,test-runner-cic-b2c93b,ConfigMapCreated,Deployment,debug-sa,node:20-alpine,False,False,False,0,10,True,1571m,1801Mi,corr-8cabc97269214009
k8s-9e2ff5ec742d,2024-06-03T03:51:20Z,monitoring,batch-mon-44047e,ClusterRoleBindingCreated,Job,deploy-sa,grafana:10.0,False,False,False,0,30,True,1568m,3111Mi,corr-b02ce5eb87da43f6
k8s-266749c10d33,2024-06-20T11:21:42Z,cicd,builder-cic-e52591,ClusterRoleBindingCreated,Job,ci-runner,grafana:10.0,False,False,False,0,49,True,697m,774Mi,corr-a8b863b619984f8a
k8s-7001149d8dc1,2024-06-02T09:03:18Z,monitoring,scanner-mon-00dada,ServiceCreated,Job,default,ci-runner:latest,False,False,False,0,50,True,1952m,2326Mi,corr-0a81f51ef3cc4690
k8s-573abe67d3c1,2024-06-07T13:42:07Z,analytics,db-migrate-ana-263c08,PodDeleted,Job,monitor-sa,golang:1.21,False,False,False,0,20,True,544m,2083Mi,corr-8c71bb39aa114bfd
